# This file is generated on 26-Aug-2022 at 15:50:58 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 3.0681e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 2.4716e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 2.0016e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 1.5894e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 1.2350e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 9.8855e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 7.4028e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 5.5409e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 4.1724e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 3.1617e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 2.5200e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 1.8333e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 1.3054e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.0000e+01, 1.0987e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.5000e+01, 9.2483e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 7.2000e+01, 8.5638e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.0000e+01, 8.1841e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.9000e+01, 8.0699e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.0000e-03, 1.0148e+02
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.0000e-03, 8.9201e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.0000e-03, 7.1884e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.0000e-03, 6.3111e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 5.9064e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 5.0904e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 4.2544e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 3.5247e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 2.8569e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 2.2944e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 1.8527e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 1.4659e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 1.1344e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 9.0481e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 6.7433e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 5.0230e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 3.7664e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 2.8441e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 2.2618e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 1.6423e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 1.1677e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.0000e+01, 9.8084e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.5000e+01, 8.2350e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 7.2000e+01, 7.5965e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.0000e+01, 7.2320e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.9000e+01, 7.1180e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.0000e-03, 9.7488e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.0000e-03, 8.5553e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 5.0000e-03, 6.8784e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 8.0000e-03, 6.0310e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 5.6405e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 4.8540e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 4.0494e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 3.3481e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 2.7070e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 2.1685e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 1.7470e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 1.3781e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 1.0628e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 8.4506e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 6.2717e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 4.6520e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 3.4749e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 2.6157e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 2.0760e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 1.5047e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 1.0684e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 4.0000e+01, 8.9581e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 5.5000e+01, 7.5026e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 7.2000e+01, 6.8963e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 9.0000e+01, 6.5426e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 9.9000e+01, 6.4287e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.0000e-03, 9.4702e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.0000e-03, 8.3009e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 5.0000e-03, 6.6621e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 8.0000e-03, 5.8354e+01
